timestamp,best_bid
1775833339000,72973.82000000
1775833340000,72977.99000000
1775833341000,72957.36000000
1775833342000,72954.67000000
1775833343000,72954.67000000
1775833344000,72949.01000000
1775833345000,72949.01000000
1775833346000,72939.19000000
1775833347000,72939.19000000
1775833348000,72939.19000000
1775833349000,72939.19000000
1775833350000,72937.34000000
1775833351000,72933.49000000
1775833352000,72933.49000000
1775833353000,72933.49000000
1775833354000,72933.49000000
1775833355000,72933.49000000
1775833356000,72933.49000000
1775833357000,72933.49000000
1775833358000,72933.49000000
1775833359000,72933.49000000
1775833360000,72946.48000000
1775833361000,72949.79000000
1775833362000,72949.79000000
