timestamp,polymarket,source_timestamp
1775833340000,72973.83,1775833339000
1775833341000,72977.99,1775833340000
1775833342000,72957.36,1775833341000
1775833343000,72954.67,1775833342000
1775833344000,72954.68,1775833343000
1775833345000,72949.02,1775833344000
1775833346000,72949.01,1775833345000
1775833347000,72939.19,1775833346000
1775833348000,72939.19,1775833347000
1775833349000,72939.2,1775833348000
1775833350000,72939.19,1775833349000
1775833351000,72933.5,1775833350000
1775833352000,72933.5,1775833351000
1775833353000,72933.49,1775833352000
1775833354000,72933.5,1775833353000
1775833355000,72933.49,1775833354000
1775833356000,72933.49,1775833355000
1775833357000,72933.5,1775833356000
1775833358000,72933.5,1775833357000
1775833359000,72933.49,1775833358000
1775833360000,72933.49,1775833359000
1775833361000,72946.48,1775833360000
1775833362000,72949.8,1775833361000
